Image Name,Main Color 1,Main Color 1 %,Main Color 2,Main Color 2 %,Main Color 3,Main Color 3 %,Unique Color Count,Average Color
1125333878538423.jpg,"[49, 62, 104]",31.51,"[237, 228, 226]",11.99,"[169, 84, 82]",6.22,4558,"[85.60152222222223, 91.20694444444445, 122.95528888888889]"
1147415829658391.jpg,"[12, 19, 38]",27.35,"[197, 157, 148]",7.58,"[106, 123, 146]",12.74,4505,"[112.764, 124.2577, 139.97756666666666]"
1151702299223435.jpg,"[36, 56, 119]",27.7,"[227, 213, 205]",5.95,"[210, 31, 46]",9.3,3463,"[59.062733333333334, 48.13863333333333, 80.20456666666666]"
1149532906145833.jpg,"[28, 36, 47]",25.44,"[100, 177, 196]",18.9,"[243, 241, 241]",11.63,4918,"[99.61772222222223, 118.3270888888889, 125.5513111111111]"
1155390832242881.jpg,"[67, 79, 134]",25.44,"[186, 167, 170]",7.03,"[22, 30, 79]",54.63,4123,"[68.83987777777777, 69.58137777777777, 111.16184444444444]"
1161533344952365.jpg,"[28, 26, 33]",28.0,"[151, 130, 141]",19.93,"[81, 75, 83]",40.91,4860,"[97.72862222222223, 85.88421111111111, 86.85656666666667]"
1167870567632485.jpg,"[143, 145, 203]",25.61,"[62, 77, 146]",22.14,"[244, 184, 26]",8.15,4904,"[123.61747777777778, 123.98438888888889, 151.9991222222222]"
1172564697145952.jpg,"[14, 15, 30]",47.62,"[238, 237, 239]",6.17,"[247, 189, 16]",5.12,3218,"[60.4553, 55.74232222222222, 70.06334444444444]"
1171262663991385.jpg,"[249, 244, 237]",63.01,"[31, 27, 42]",15.96,"[166, 91, 101]",6.77,1955,"[201.59516666666667, 176.38253333333333, 176.8850888888889]"
1174086463823528.jpg,"[151, 65, 66]",5.67,"[22, 30, 80]",54.75,"[242, 240, 242]",7.22,4123,"[68.83987777777777, 69.58137777777777, 111.16184444444444]"
1180858509842649.jpg,"[234, 231, 233]",7.46,"[13, 14, 33]",42.18,"[155, 103, 103]",15.82,3211,"[69.81041111111111, 54.473077777777775, 78.98837777777777]"
1177046983593904.jpg,"[38, 49, 117]",32.92,"[220, 219, 238]",14.7,"[132, 129, 169]",13.95,4370,"[88.84696666666666, 86.21494444444444, 126.3916888888889]"
1181317849814201.jpg,"[166, 123, 88]",12.8,"[250, 250, 251]",8.07,"[22, 31, 51]",32.82,4778,"[111.56877777777778, 108.43843333333334, 107.89392222222222]"
1182165709709255.jpg,"[24, 30, 49]",30.23,"[147, 174, 203]",20.47,"[70, 82, 91]",25.14,4668,"[101.65193333333333, 109.15165555555555, 121.5282888888889]"
1183436692951090.jpg,"[251, 200, 33]",41.02,"[20, 22, 36]",23.73,"[248, 115, 205]",18.86,3228,"[185.70697777777778, 136.01463333333334, 84.90352222222222]"
1182301376163781.jpg,"[239, 247, 252]",43.0,"[16, 38, 86]",20.18,"[195, 137, 85]",3.12,2391,"[133.87187777777777, 146.0102222222222, 175.9323777777778]"
1187790769165104.jpg,"[26, 17, 34]",33.78,"[207, 157, 169]",12.79,"[248, 244, 247]",17.38,4734,"[113.47002222222223, 91.98901111111111, 112.07176666666666]"
